  VOVM       A685
  VRCL       A6C5
  VRRS       A648
  VRSV       A64A
  VRSVC      A649
  VS         A421
  VSD        A411
  VSDQ       A591
  VSDR       A511
  VSDS       A491
  VSE        A401
  VSEQ       A581
  VSER       A501
  VSES       A481
  VSLL       E425
  VSPSD      A61A
  VSQ        A5A1
  VSQD       A453
  VSQDR      A553
  VSQE       A443
  VSQER      A543
  VSR        A521
  VSRL       E424
  VSRRS      A6C2
  VSRSV      A6C0
  VSS        A4A1
  VST        A40D
  VSTD       A41D
  VSTE       A40D
  VSTH       A42D
  VSTI       E401
  VSTID      E411
  VSTIE      E401
  VSTK       A40F
  VSTKD      A41F
  VSTKE      A40F
  VSTM       A40E
  VSTMD      A41E
  VSTME      A40E
  VSTVM      A682
  VSTVP      A6C8
  VSVMM      A6C6
  VTAD       A454
  VTAE       A444
  VTSD       A455
  VTSE       A445
  VTVM       A640
  VX         A426
  VXEL       A629
  VXELD      A619
  VXELE      A609
  VXQ        A5A6
  VXR        A526
  VXS        A4A6
  VXVC       A644
  VXVM       A686
  VXVMM      A646
  VZPSD      A61B
  XG         E382
  XGR        B982
  XIHF       C06 
  XILF       C07 
  XIY        EB57
  XSCH       B276
  XY         E357
