  CLIJL      EC7F
  CLIJNE     EC7F
  CLIJNH     EC7F
  CLIJNL     EC7F
  CLIY       EB55
  CLM        BD  
  CLMH       EB20
  CLMY       EB21
  CLR        15  
  CLRB       ECF7
  CLRBE      ECF7
  CLRBH      ECF7
  CLRBL      ECF7
  CLRBNE     ECF7
  CLRBNH     ECF7
  CLRBNL     ECF7
  CLRCH      9F01
  CLRIO      9D01
  CLRJ       EC77
  CLRJE      EC77
  CLRJH      EC77
  CLRJL      EC77
  CLRJNE     EC77
  CLRJNH     EC77
  CLRJNL     EC77
  CLRP       B215
  CLRT       B973
  CLRTE      B973
  CLRTH      B973
  CLRTL      B973
  CLRTNE     B973
  CLRTNH     B973
  CLRTNL     B973
  CLST       B25D
  CLY        E355
  CMPS       0109
  CMPSC      B263
  CMSG       0105
  CONCS      B200
  COSD       B28A
  COSE       B28B
  CP         F9  
  CPSDR      B372
  CPYA       B24D
  CR         19  
  CRB        ECF6
  CRBE       ECF6
  CRBH       ECF6
  CRBL       ECF6
  CRBNE      ECF6
  CRBNH      ECF6
  CRBNL      ECF6
  CRJ        EC76
  CRJE       EC76
  CRJH       EC76
  CRJL       EC76
  CRJNE      EC76
  CRJNH      EC76
  CRJNL      EC76
  CRT        B972
  CRTE       B972
  CRTH       B972
  CRTL       B972
  CRTNE      B972
  CRTNH      B972
  CRTNL      B972
  CS         BA  
  CSCH       B230
  CSDTR      B3E3
  CSG        EB30
  CSP        B250
  CSPG       B98A
  CSXTR      B3EB
  CSY        EB14
  CTP        B0  
  CU12       B2A7
  CU14       B9B0
  CU21       B2A6
  CU24       B9B1
  CU41       B9B2
  CU42       B9B3
  CUDTR      B3E2
  CUSE       B257
  CUTFU      B2A7
  CUUTF      B2A6
  CUXTR      B3EA
  CVB        4F  
  CVBG       E30E
  CVBY       E306
  CVD        4E  
  CVDG       E32E
  CVDY       E326
  CXBR       B349
  CXFBR      B396
  CXFR       B3B6
  CXGBR      B3A6
  CXGR       B3C6
  CXGTR      B3F9
  CXR        B369
  CXSTR      B3FB
  CXTR       B3EC
  CXUTR      B3FA
  CY         E359
  D          5D  
  DCTP       B21C
  DD         6D  
  DDB        ED1D
  DDBR       B31D
  DDR        2D  
  DDRN       B2C6
  DDTR       B3D1
  DE         7D  
  DEB        ED0D
  DEBR       B30D
  DEP        B21B
  DER        3D  
  DERN       B2C7
  DIAG       83  
  DIDBR      B35B
  DIEBR      B353
  DISCS      B201
  DL         E397
  DLG        E387
  DLGR       B987
  DLR        B997
  DP         FD  
  DQAP       B2AE
  DR         1D  
  DSG        E30D
  DSGF       E31D
  DSGFR      B91D
  DSGR       B90D
  DV         B268
  DXBR       B34D
  DXR        B22D
  DXTR       B3D9
  EAR        B24F
  ECA        B2ED
  ECAG       EB4C
  ECCTR      B2E4
  ED         DE  
  EDMK       DF  
  EEDTR      B3E5
  EEXTR      B3ED
  EFPC       B38C
  EPAIR      B99A
  EPAR       B226
  EPCTR      B2E5
  EPSW       B98D
  EQBS       B99C
  EREG       B249
  EREGG      B90E
  ESAIR      B99B
  ESAR       B227
  ESDTR      B3E7
  ESEA       B99D
  ESSA       B9AB
  ESTA       B24A
  ESXTR      B3EF
  EX         44  
  EXPD       B282
  EXPE       B283
  FIDBR      B35F
  FIDR       B37F
  FIDTR      B3D7
  FIEBR      B357
  FIER       B377
  FIXBR      B347
  FIXR       B367
  FIXTR      B3DF
  FLOGR      B983
  HDR        24  
  HDV        9E01
  HER        34  
  HIO        9E00
  HSCH       B231
  IAC        B224
  IC         43  
  ICM        BF  
  ICMH       EB80
  ICMY       EB81
  ICY        E373
  IDTE       B98E
  IEDTR      B3F6
  IESBE      B259
  IEXTR      B3FE
  IPB        B4  
  IPK        B20B
  IPM        B222
  IPTE       B221
  ISK        09  
  ISKE       B229
  IUCV       B2F0
  IVSK       B223
  J          A7F4
  JE         A784
  JG         C0F4
  JGE        C084
  JGH        C024
  JGHE       C0A4
  JGL        C044
  JGLE       C0C4
  JGLH       C064
  JGM        C044
  JGNE       C074
  JGNH       C0D4
  JGNHE      C054
  JGNL       C0B4
  JGNLE      C034
  JGNLH      C094
  JGNM       C0B4
  JGNO       C0E4
  JGNP       C0D4
  JGNZ       C074
  JGO        C014
  JGP        C024
  JGZ        C084
  JH         A724
  JHE        A7A4
  JL         A744
  JLE        A7C4
  JLE        C084
  JLH        C024
  JLH        A764
  JLL        C044
  JLM        C044
  JLNE       C074
  JLNH       C0D4
  JLNL       C0B4
  JLNM       C0B4
  JLNO       C0E4
  JLNOP      C004
  JLNP       C0D4
  JLNZ       C074
  JLO        C014
  JLP        C024
  JLU        C0F4
  JLZ        C084
  JM         A744
  JNE        A774
  JNH        A7D4
  JNHE       A754
  JNL        A7B4
  JNLE       A734
  JNLH       A794
  JNM        A7B4
  JNO        A7E4
  JNOP       A704
  JNP        A7D4
  JNZ        A774
  JO         A714
  JP         A724
  JUMP       A7F4
  JXH        84  
  JXHG       EC44
  JXLE       85  
  JXLEG      EC45
  JZ         A784
  KDB        ED18
  KDBR       B318
  KDTR       B3E0
  KEB        ED08
  KEBR       B308
  KIMD       B93E
  KLMD       B93F
